date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:23:37	115548/115548	---MCZ	200	added ('OK')	text/html	date:Fri,%2025%20Feb%202022%2013:23:50%20GMT	https://www.composersunion.ge/kavshiris-wevrebi/musikismtsodneebi.html	I:/OFFWeb/ComPII/ComP/kavshiris-wevrebi/musikismtsodneebi.html	(from https://www.composersunion.ge/)
14:23:37	125167/125167	---MCZ	200	added ('OK')	text/html	date:Fri,%2025%20Feb%202022%2013:23:51%20GMT	https://www.composersunion.ge/kavshiris-wevrebi/gardatsvlili-wevrebi-2.html	I:/OFFWeb/ComPII/ComP/kavshiris-wevrebi/gardatsvlili-wevrebi-2.html	(from https://www.composersunion.ge/)
14:23:38	105624/105624	---MCZ	200	added ('OK')	text/html	date:Fri,%2025%20Feb%202022%2013:23:51%20GMT	https://www.composersunion.ge/galerea/poto-galerea-1.html	I:/OFFWeb/ComPII/ComP/galerea/poto-galerea-1.html	(from https://www.composersunion.ge/)
14:23:38	105624/105624	---MCZ	200	added ('OK')	text/html	date:Fri,%2025%20Feb%202022%2013:23:51%20GMT	https://www.composersunion.ge/galerea/video-galerea.html	I:/OFFWeb/ComPII/ComP/galerea/video-galerea.html	(from https://www.composersunion.ge/)
14:23:39	105586/105586	---MCZ	200	added ('OK')	text/html	date:Fri,%2025%20Feb%202022%2013:23:52%20GMT	https://www.composersunion.ge/biblioteka/gamotsemebi/sanoto.html	I:/OFFWeb/ComPII/ComP/biblioteka/gamotsemebi/sanoto.html	(from https://www.composersunion.ge/)
14:23:39	105586/105586	---MCZ	200	added ('OK')	text/html	date:Fri,%2025%20Feb%202022%2013:23:52%20GMT	https://www.composersunion.ge/biblioteka/gamotsemebi/samusikismtsodneo.html	I:/OFFWeb/ComPII/ComP/biblioteka/gamotsemebi/samusikismtsodneo.html	(from https://www.composersunion.ge/)
14:23:39	105627/105627	---MCZ	200	added ('OK')	text/html	date:Fri,%2025%20Feb%202022%2013:23:53%20GMT	https://www.composersunion.ge/biblioteka/eleqtronuli-biblioteka/notebi/saportepiano-nawarmoebebi.html	I:/OFFWeb/ComPII/ComP/biblioteka/eleqtronuli-biblioteka/notebi/saportepiano-nawarmoebebi.html	(from https://www.composersunion.ge/)
14:23:40	105586/105586	---MCZ	200	added ('OK')	text/html	date:Fri,%2025%20Feb%202022%2013:23:53%20GMT	https://www.composersunion.ge/biblioteka/eleqtronuli-biblioteka/musikismtsodneoba.html	I:/OFFWeb/ComPII/ComP/biblioteka/eleqtronuli-biblioteka/musikismtsodneoba.html	(from https://www.composersunion.ge/)
14:23:40	105586/105586	---MCZ	200	added ('OK')	text/html	date:Fri,%2025%20Feb%202022%2013:23:53%20GMT	https://www.composersunion.ge/biblioteka/eleqtronuli-biblioteka/zhurnali-musika-1.html	I:/OFFWeb/ComPII/ComP/biblioteka/eleqtronuli-biblioteka/zhurnali-musika-1.html	(from https://www.composersunion.ge/)
14:23:41	105586/105586	---MCZ	200	added ('OK')	text/html	date:Fri,%2025%20Feb%202022%2013:23:54%20GMT	https://www.composersunion.ge/biblioteka/ponoteka.html	I:/OFFWeb/ComPII/ComP/biblioteka/ponoteka.html	(from https://www.composersunion.ge/)
14:23:41	105585/105585	---MCZ	200	added ('OK')	text/html	date:Fri,%2025%20Feb%202022%2013:23:54%20GMT	https://www.composersunion.ge/biblioteka/videoteka.html	I:/OFFWeb/ComPII/ComP/biblioteka/videoteka.html	(from https://www.composersunion.ge/)
14:23:41	105636/105636	---MCZ	200	added ('OK')	text/html	date:Fri,%2025%20Feb%202022%2013:23:55%20GMT	https://www.composersunion.ge/musikaluri-pondi.html	I:/OFFWeb/ComPII/ComP/musikaluri-pondi.html	(from https://www.composersunion.ge/)
14:23:42	107506/107506	---MCZ	200	added ('OK')	text/html	date:Fri,%2025%20Feb%202022%2013:23:55%20GMT	https://www.composersunion.ge/kontaqti-1.html	I:/OFFWeb/ComPII/ComP/kontaqti-1.html	(from https://www.composersunion.ge/)
